id,date,latitude,longitude,priority,ambulance,start_time,TO_INCIDENT_duration,AT_INCIDENT_duration,TO_HOSPITAL_duration,AT_HOSPITAL_duration,TO_BASE_duration,OTHER_duration,hospital_latitude,hospital_longitude
1,2019-01-31 00:06:51.100,32.72233291884531,-117.04885977632644,,2,2019-01-31 00:06:51.100,0 days 00:01:24,0 days 00:09:33,0 days 00:00:06,0 days 00:05:23,0 days 00:01:24,0 days,32.724462,-117.048276
2,2019-01-31 00:10:00.100,32.80024726674799,-117.08640676842624,,1,2019-01-31 00:10:00.100,0 days 00:00:43,0 days 00:05:31,0 days 00:01:45,0 days 00:08:54,0 days 00:01:52,0 days,32.776485,-117.09868
3,2019-01-31 00:13:28.100,32.75513320332385,-117.11575928795205,,3,2019-01-31 00:13:28.100,0 days 00:01:41,0 days 00:08:16,0 days 00:01:15,0 days 00:09:05,0 days 00:03:08,0 days,32.736006,-117.127023
4,2019-01-31 00:19:39.100,32.7978107003661,-117.02766275541327,,0,2019-01-31 00:19:39.100,0 days 00:05:18,0 days 00:05:15,0 days 00:04:22,0 days 00:05:22,0 days 00:02:47,0 days,32.776485,-117.09868
5,2019-01-31 00:24:36.100,32.78692178018396,-117.08363003519432,,4,2019-01-31 00:24:36.100,0 days 00:04:35,0 days 00:05:04,0 days 00:00:50,0 days 00:06:39,0 days 00:03:31,0 days,32.776485,-117.09868
6,2019-01-31 00:30:54.100,32.79314377929144,-117.01909108988052,,1,2019-01-31 00:30:54.100,0 days 00:03:07,0 days 00:05:55,0 days 00:04:37,0 days 00:09:37,0 days 00:01:52,0 days,32.776485,-117.09868
7,2019-01-31 00:36:24.100,32.770133447238976,-117.14898658646472,,2,2019-01-31 00:36:24.100,0 days 00:05:39,0 days 00:06:44,0 days 00:02:37,0 days 00:05:53,0 days 00:03:39,0 days,32.736006,-117.127023
8,2019-01-31 00:42:31.100,32.799348007734885,-117.03615981814372,,3,2019-01-31 00:42:31.100,0 days 00:04:52,0 days 00:05:54,0 days 00:04:06,0 days 00:08:25,0 days 00:01:27,0 days,32.776485,-117.09868
9,2019-01-31 00:46:09.100,32.728660457122146,-117.12566985935068,,0,2019-01-31 00:46:09.100,0 days 00:02:14,0 days 00:08:33,0 days 00:00:47,0 days 00:09:43,0 days 00:02:20,0 days,32.736006,-117.127023
10,2019-01-31 00:52:11.100,32.815197808762136,-117.08142374501284,,4,2019-01-31 00:52:11.100,0 days 00:05:35,0 days 00:09:36,0 days 00:02:40,0 days 00:07:58,0 days 00:03:31,0 days,32.776485,-117.09868
